  id  |           name            | year_printed |  sheet   
 1132 | Pahaoa                    |         1974 | N166
 1134 | Farewell                  |         1974 | S1-3
 1136 | Kaburangi                 |         1972 | S2
 1139 | Heaphy                    |         1971 | S7
 1141 | Adele                     |         1973 | S9
 1143 | Chetwode                  |         1975 | S11
 1145 | Cobb                      |         1974 | S13
 1147 | Rai                       |         1970 | S15
 1150 | Tadmor                    |         1974 | S19
 1152 | Kaituna                   |         1972 | S21
 1154 | Westport                  |         1973 | S23-24
 1156 | Hope                      |         1973 | S26
 1159 | Seddon                    |         1972 | S29
 1161 | Buller                    |         1972 | S31
 1163 | St Arnaud                 |         1971 | S33
 1165 | Awatere                   |         1971 | S35
 1168 | Reefton                   |         1972 | S38
 1170 | Spenser                   |         1971 | S40
 1172 | Clarence                  |         1972 | S42-43
 1175 | Lewis                     |         1971 | S46
 1177 | Charwell                  |         1971 | S48
 1179 | Hokitika                  |         1978 | S50-51
 1181 | Lake Sumner               |         1972 | S53
 1184 | Ross                      |         1970 | S57
 1186 | Otira                     |         1980 | S59
 1188 | Culverden                 |         1974 | S61
 1190 | Okarito                   |         1970 | S63
 1193 | Broken River              |         1980 | S66
 1195 | Amberley and Motunau      |         1977 | S68-69
 1200 | Springfield               |         1970 | S74
 1202 | Kaiapoi                   |         1962 | S76
 1204 | Bruce Bay                 |         1977 | S78
 1206 | Macaulay                  |         1980 | S80
 1209 | Burnham                   |         1972 | S83
 1211 | Okains and Goughs         |         1975 | S85-95
 1213 | Haast                     |         1970 | S87
 1215 | Tasman                    |         1970 | S89
 1218 | Ashburton                 |         1970 | S92
 1220 | Akaroa                    |         1965 | S94
 1222 | Jacksons Bay              |         1975 | S97
 1224 | Ohau                      |         1970 | S99
 1227 | Geraldine                 |         1971 | S102
 1229 | Martins Bay               |         1974 | S105
 1231 | Makarora                  |         1970 | S107
 1233 | Benmore                   |         1978 | S109
 1236 | Milford                   |         1973 | S112
 1238 | Earnslaw                  |         1974 | S114
 1240 | Lindis                    |         1980 | S116
 1243 | Waimate                   |         1971 | S119
 1245 | Hollyford                 |         1974 | S122
 1247 | Cardrona                  |         1979 | S124
 1249 | Mt lda                    |         1970 | S126
 1252 | Caswell                   |         1974 | S129
 1254 | Eglinton                  |         1978 | S131
 1256 | Cromwell                  |         1981 | S133
 1258 | Ranfurly                  |         1970 | S135
 1261 | Doubtful                  |         1974 | S138-139
