  id  |                                 name                                 | series  |                   sheet                   | year_printed | uploadedmap_id |                                   extent                                   
 2206 | Whangaroa                                                            | NZMS15  |                                           |         1921 |                | BOX(173.5643 -35.23689,173.98918 -34.87178)
  449 | Morley                                                               | NZMS1   | S159                                      |         1946 |                | BOX(167.787519476846 -45.9287124708882,168.331011099954 -45.6664267924348)
  667 | Lake Heron                                                           | NZMS1   | S73                                       |         1979 |                | BOX(170.991312510497 -43.5045572649574,171.500113053621 -43.2565229690541)
 1146 | Motueka                                                              | NZMS1   | S14                                       |         1978 |                | BOX(172.96786777956 -41.2725554173464,173.464230432573 -41.0183648302474)
 1487 | Ruawai                                                               | NZMS260 | P08                                       |         1998 |                | BOX(173.65869209375 -36.2504326503919,174.106671645137 -35.9760186333635)
 1108 | Ongaonga                                                             | NZMS1   | N140                                      |         1976 |                | BOX(175.980209080646 -39.985549498277,176.463639055766 -39.7355203808151)
  899 | Cook Strait                                                          | NZMS260 | Q27                                       |         1980 |                | BOX(174.190826203836 -41.3806770346848,174.673850579441 -41.1046596227315)
 1120 | Eketahuna                                                            | NZMS1   | N153                                      |         1975 |                | BOX(175.500175514087 -40.7276712468912,175.987233725853 -40.4796236141726)
 1600 | Te Haroto                                                            | NZMS260 | V19                                       |         1988 |                | BOX(176.458878443814 -39.1719792661042,176.934816433381 -38.8870430130965)
  786 | Haast Pass                                                           | NZMS260 | G38                                       |         1989 |                | BOX(169.239466425704 -44.3117010027064,169.75505562204 -44.0267109502258)
 1665 | Te Araroa                                                            | Topo50  | BD45                                      |         2009 |                | BOX(178.291784231514 -37.8094340783113,178.586217337307 -37.4738934262099)
  149 | Kaituna                                                              | NZMS1   | S21                                       |         1942 |                | BOX(173.464230432573 -41.5120773459587,173.964170071365 -41.2558079988344)
  307 | Eketahuna                                                            | NZMS1   | N153                                      |         1965 |                | BOX(175.500175514087 -40.7276712468912,175.987233725853 -40.4796236141726)
 1289 | Tautapere                                                            | NZMS1   | S167                                      |         1975 |                | BOX(167.239633242615 -46.1589911096088,167.787519476846 -45.8942745331165)
  706 | Earnslaw                                                             | NZMS1   | S114                                      |         1974 |                | BOX(168.385311970502 -44.7094218393463,168.914821961952 -44.4499489922048)
 2219 | Waiapu                                                               | NZMS15  | 1                                         |         1945 |                | BOX(177.95092 -37.89855,178.59451 -37.68857)
 1009 | Maungaturoto                                                         | NZMS1   | N28                                       |         1974 |                | BOX(174.126410348357 -36.2760200761382,174.587142673847 -36.0244888270895)
  541 | Tokaanu                                                              | NZMS1   | N102                                      |         1976 |                | BOX(175.500182144632 -38.9982400573697,175.975163475802 -38.7501791560408)
 1582 | Ngongotaha                                                           | NZMS260 | U15                                       |         1996 |                | BOX(175.952012541706 -38.1045069827062,176.419163874914 -37.8214959377585)
 2444 | SD39-40                                                              | NZMS13  | SD39-40                                   |         1888 |                | BOX(168.763094730687 -46.124278331483,169.109172755106 -45.8758376132304)
 1897 | Ongarue                                                              | Topo50  | BG33                                      |         2009 |                | BOX(175.065891272935 -38.8844423883514,175.351747097868 -38.5550469372795)
 1100 | Kakatahi                                                             | NZMS1   | N131                                      |         1980 |                | BOX(175.020149620484 -39.7394879665775,175.500180283443 -39.4914308363247)
 2452 | SD35                                                                 | NZMS13  | SD35                                      |         1898 |                | BOX(168.057390987614 -46.0744575307103,168.493908348016 -45.8292716601334)
 1408 | Mount Peel                                                           | NZMS260 | J37                                       |         1996 |                | BOX(170.752914028623 -44.0743341591593,171.259914528747 -43.7957880992678)
 2210 | Taupo                                                                | NZMS15  | 1                                         |         1948 |                | BOX(175.56718 -38.85887,176.75025 -38.29957)
 1065 | Taupo                                                                | NZMS1   | N94                                       |         1977 |                | BOX(175.971901618306 -38.7501791560408,176.446816990313 -38.5002248231679)
  252 | Whakamaru                                                            | NZMS1   | N84                                       |         1964 |                | BOX(175.500183980464 -38.5040224475351,175.971901618306 -38.2559573871546)
  537 | Gisborne                                                             | NZMS1   | N98                                       |         1979 |                | BOX(177.857883965482 -38.7271957084276,178.338645252852 -38.4698569450682)
 2300 | Westland                                                             | NZMS15  | 6                                         |         1919 |                | BOX(169.21141 -43.85305,169.80564 -43.41779)
  489 | Auckland                                                             | NZMS1   | N42                                       |         1978 |                | BOX(174.575445360671 -37.0202182607615,175.039286486345 -36.770360405136)
  131 | Dunedin                                                              | NZMS1   | S164                                      |         1959 |                | BOX(170.438325211072 -45.971840197321,170.9715214816 -45.7213777161559)
 2293 | Waimate                                                              | NZMS15  | 1                                         |         1928 |                | BOX(170.1877 -44.63424,170.7031 -44.31092)
  974 | Mohaka                                                               | NZMS260 | W19                                       |         1989 |                | BOX(176.919612811709 -39.1570360308656,177.397050200466 -38.8703674074147)
 1757 | Otira                                                                | Topo50  | BV20                                      |         2009 |                | BOX(171.377724768984 -43.1110329556794,171.679545047864 -42.7831747623047)
 1320 | Hauroko                                                              | NZMS260 | C45                                       |         1997 |                | BOX(167.048429041469 -46.1229377729032,167.590247693579 -45.8286802960945)
  357 | Culverden                                                            | NZMS1   | S61                                       |         1963 |                | BOX(172.505449242874 -43.0062774282641,173.013997175576 -42.7538701989711)
  241 | East Cape                                                            | NZMS1   | N63                                       |         1967 |                | BOX(178.291264423967 -37.7293447194884,178.766584546602 -37.4705857207165)
  958 | Kaweka                                                               | NZMS260 | U20                                       |         1982 |                | BOX(176.009656362662 -39.4552071159241,176.485921982393 -39.1719792661042)
   17 | Tinui                                                                | NZMS1   | N159                                      |         1945 |                | BOX(175.987233725853 -40.9736552354036,176.477864394353 -40.7235633261654)
  325 | Karamea                                                              | NZMS1   | S12                                       |         1965 |                | BOX(171.989440090348 -41.2809328549373,172.48238398735 -41.0308210570746)
 1021 | Auckland                                                             | NZMS1   | N42                                       |         1978 |                | BOX(174.575445360671 -37.0202182607615,175.039286486345 -36.770360405136)
  142 | Balclutha                                                            | NZMS1   | S179                                      |         1945 |                | BOX(169.358011181685 -46.4553573044818,169.900493769481 -46.1999686161677)
 1999 | Mount Stevenson                                                      | Topo50  | BY16                                      |         2009 |                | BOX(170.153564800714 -44.0627776446542,170.466655977991 -43.7319737295503)
  861 | Aranga                                                               | NZMS260 | O07                                       |         1987 |                | BOX(173.434686418012 -35.9815769007647,173.65869209375 -35.7098176214706)
  816 | Coleridge                                                            | NZMS260 | K35                                       |         1989 |                | BOX(171.267652097635 -43.5408033226547,171.76796168345 -43.2644220896952)
 1333 | Bluff                                                                | NZMS260 | D48                                       |         1987 |                | BOX(167.4860745045 -46.9538727459587,168.034225531525 -46.6615284805182)
 1079 | New Plymouth                                                         | NZMS1   | N108                                      |         1970 |                | BOX(173.594069939477 -39.2365535824446,174.075420793567 -38.9827719049695)
 1783 | Palmerston                                                           | Topo50  | CD18                                      |         2009 |                | BOX(170.688326602195 -45.6939811834225,171.007815863038 -45.3643845263341)
  109 | Hinds                                                                | NZMS1   | S103                                      |         1942 |                | BOX(171.500107904572 -44.2452247239111,172.015248267827 -43.99719601578)
 1740 | Granity                                                              | Topo50  | BR21                                      |         2009 |                | BOX(171.699711558508 -41.8174267390698,171.993674654872 -41.4903429564057)
  914 | Paraparaumu                                                          | NZMS260 | R25                                       |         1983 |                | BOX(174.889651929069 -40.8308849343295,175.134374802072 -40.5566458927532)
  524 | Whakamaru                                                            | NZMS1   | N84                                       |         1979 |                | BOX(175.500183980464 -38.5040224475351,175.971901618306 -38.2559573871546)
 1129 | Whareama                                                             | NZMS1   | N163                                      |         1966 |                | BOX(175.989044942337 -41.2124219180952,176.208867673226 -40.9725296656237)
  644 | Jollies                                                              | NZMS1   | S47                                       |         1971 |                | BOX(172.497567347716 -42.5124788760814,173.002027514918 -42.2601437063758)
 2421 | CB82                                                                 | NZMS13  | CB82                                      |         1899 |                | BOX(172.977042617718 -43.7659314534411,173.171772972187 -43.6113172396046)
  296 | Waipawa                                                              | NZMS1   | N141                                      |         1962 |                | BOX(176.4601912922 -39.9825473031334,176.945248942476 -39.7305603482846)
  282 | Stratford                                                            | NZMS1   | N119                                      |         1964 |                | BOX(174.065389375579 -39.4884783446915,174.546940573874 -39.2365535824446)
 1364 | Paringa                                                              | NZMS260 | G36                                       |         1999 |                | BOX(169.273335615988 -43.7625285441125,169.457094453067 -43.586170399222)
 1389 | Hinahina                                                             | NZMS260 | H47                                       |         1999 |                | BOX(169.601601553029 -46.7462305662733,169.877747146528 -46.469558146046)
  655 | Dampier                                                              | NZMS1   | S60                                       |         1978 |                | BOX(172.002810692711 -43.0096141535341,172.509465259399 -42.75938362894)
  617 | Little Wanganui                                                      | NZMS1   | S17-18                                    |         1973 |                | BOX(171.925793666069 -41.5281822724278,172.486109014201 -41.2777912541391)
 2019 | Foxton                                                               | Topo50  | BM33                                      |         2009 |                | BOX(175.114237930272 -40.5052009545694,175.40741343518 -40.1756004100037)
  995 | Ahipara                                                              | NZMS1   | N9                                        |         1975 |                | BOX(173.038423728718 -35.2694604668755,173.246066442056 -35.0185078297296)
  167 | Maruia                                                               | NZMS1   | S39                                       |         1943 |                | BOX(171.996936697155 -42.268814992942,172.497567347716 -42.0186365585689)
 1416 | Punakaiki                                                            | NZMS260 | K30                                       |         1984 |                | BOX(171.305205810813 -42.1906535542974,171.794509206505 -41.9144476621952)
 1569 | Taihape                                                              | NZMS260 | T21                                       |         1998 |                | BOX(175.556836634975 -39.7366885024444,176.033388249385 -39.4552071159241)
 2266 | Horowhenua                                                           | NZMS15  | 2                                         |         1930 |                | BOX(174.95764 -40.95177,175.45452 -40.70784)
 1275 | Teviot                                                               | NZMS1   | S153                                      |         1982 |                | BOX(169.386467442148 -45.715264554333,169.921572200682 -45.4600618599826)
