  id  |               name                | year_printed |         sheet         
 1767 | Mount Sibbald                     |         2009 | BX17
 1768 | Mount Elie De Beaumont            |         2009 | BX16
 1769 | Longbeach                         |         2009 | BZ21ptBZ20
 1770 | Clandeboye                        |         2009 | BZ20
 1771 | Timaru                            |         2009 | BZ19
 1772 | Fairlie                           |         2009 | BZ18
 1773 | Burkes Pass                       |         2009 | BZ17
 1774 | Dover Pass                        |         2009 | BZ16
 1775 | Jackson Bay                       |         2009 | BY10ptBZ10
 1776 | Cascade Plateau                   |         2009 | BZ10
 1777 | Awarua Point                      |         2009 | BZ09
 1778 | Waimate                           |         2009 | CB19
 1779 | Ikawai                            |         2009 | CB18
 1780 | Kurow                             |         2009 | CB17
 1781 | Naseby                            |         2009 | CB16
 1782 | Idaburn                           |         2009 | CB15
 1783 | Palmerston                        |         2009 | CD18
 1784 | Waikouaiti                        |         2009 | CD17
 1785 | Middlemarch                       |         2009 | CD16
 1786 | Paerau                            |         2009 | CD15
 1787 | Taieri Mouth                      |         2009 | CF16
 1788 | Milton                            |         2009 | CF15
 1789 | Dunstan Peak                      |         2009 | CB14
 1790 | Tarras                            |         2009 | CB13
 1791 | Cardrona                          |         2009 | CB12
 1792 | Arrowtown                         |         2009 | CB11
 1793 | Glenorchy                         |         2009 | CB10
 1794 | Hollyford                         |         2009 | CB09
 1795 | Poison Bay                        |         2009 | CA07ptCB07
 1796 | Homer Saddle                      |         2009 | CB08
 1797 | Bligh Sound                       |         2009 | CB07
 1798 | Lake Onslow                       |         2009 | CD14
 1799 | Roxburgh                          |         2009 | CD13
 1800 | Piano Flat                        |         2009 | CD12
 1801 | Kingston                          |         2009 | CD11
 1802 | Clydevale                         |         2009 | CF14
 1803 | Clinton                           |         2009 | CF13
 1804 | Gore                              |         2009 | CF12
 1805 | Hokonui Hills                     |         2009 | CF11
 1806 | Eyre Peak                         |         2009 | CD10
 1807 | South Mavora Lake                 |         2009 | CD09
 1808 | Te Anau                           |         2009 | CD08
 1809 | Manapouri                         |         2009 | CD07
 1810 | Winton                            |         2009 | CF10
 1811 | Nightcaps                         |         2009 | CF09
 1812 | Tuatapere                         |         2009 | CF08
 1813 | Mary Island                       |         2009 | CF07
 1814 | Curio Bay                         |         2009 | CH13
 1815 | Waipapa Point                     |         2009 | CH12
 1816 | Ruapuke Island                    |         2009 | CH11
 1817 | Sand Hill Point                   |         2009 | CG07ptCF07
 1818 | Foveaux Strait                    |         2009 | CH10
 1819 | Mount Anglem / Hananui            |         2009 | CH09
 1820 | Codfish Island / Whenua Hou       |         2009 | CH08
 1821 | Titi / Muttonbird Island          |         2009 | CJ07/CK07
 1822 | South Cape / Whiore               |         2009 | CK08
 1823 | Mount Elder                       |         2009 | CB06
 1824 | Deep Cove                         |         2009 | CD06
 1825 | Dagg Sound                        |         2009 | CD05
 1826 | Lake Beattie                      |         2009 | CD04ptCD05
 1827 | Lake Poteriteri                   |         2009 | CF06
 1828 | Long Sound                        |         2009 | CF05
 1829 | West Cape                         |         2009 | CF04
 1830 | Solander Island (Hautere)         |         2009 | CH05/CH06
 1831 | Poor Knights Islands              |         2009 | AW32
 1832 | Tutukaka                          |         2009 | AW31
 1833 | Hen and Chickens Islands          |         2009 | AX32ptsAX31,AY31,AY32
 1834 | Mangonui                          |         2009 | AU27
 1835 | Waiharara                         |         2009 | AU26
 1836 | Houhora                           |         2009 | AU25
 1837 | Whangaruru                        |         2009 | AW30
 1838 | Kawakawa                          |         2009 | AW29
 1839 | Kaikohe                           |         2009 | AW28
 1840 | Rawene                            |         2009 | AW27
