  id  |           name            | year_printed |     sheet     
 1319 | Hunter Mountains          |         1997 | C44
 1321 | Port Craig                |         1997 | C46
 1323 | Lake McKerrow             |         1995 | D38
 1325 | Whakatipu Waitai          |         1995 | D39
 1327 | Livingstone               |         1991 | D42
 1328 | Te Anau                   |         1990 | D43
 1330 | Ohai                      |         1985 | D45
 1332 | Bluff                     |         1999 | D47
 1334 | Halfmoon Bay              |         1999 | D48-E48
 1335 | Mount Allen               |         2000 | D49
 1337 | Cascade                   |         1997 | E37-38
 1339 | Earnslaw                  |         1996 | E40
 1341 | Walter Peak               |         1996 | E42
 1343 | Lumsden                   |         1985 | E44
 1344 | Winton                    |         1984 | E45
 1346 | Bluff                     |         1999 | E47
 1347 | Bluff                     |         1999 | E47
 1348 |                           |         1981 | E48-F48
 1349 | Port Adventure            |         1981 | E49
 1351 | Haast                     |         1991 | F37
 1353 | Matukituki                |         1993 | F39
 1355 | Arrowtown                 |         1996 | F41
 1356 | Kingston                  |         1997 | F42
 1358 | Waikaia                   |         1997 | F44
 1360 | Mataura                   |         1999 | F46
 1362 | Franz Josef and Waiau     |         1995 | G35-H35
 1363 | Franz Josef and Waiau     |         1995 | G35-H35
 1366 | Landsborough              |         1996 | G37
 1367 | Haast Pass                |         1999 | G38
 1369 | Lindis                    |         1991 | G40
 1371 | Alexandra                 |         1999 | G42
 1373 | Beaumont                  |         1987 | G44
 1375 | Clinton                   |         1999 | G46
 1376 | Tautuku                   |         1995 | G47
 1378 | Mount Cook                |         1996 | H36
 1380 | Ohau                      |         1991 | H38
 1382 | Otematata                 |         1994 | H40
 1383 | Ranfurly                  |         1994 | H41
 1385 | Middlemarch               |         1989 | H43
 1387 | Milton                    |         1988 | H45
 1389 | Hinahina                  |         1999 | H47
 1390 | Harihari                  |         1994 | I34
 1392 | Godley                    |         1998 | I36
 1394 | Burkes Pass               |         1994 | I38
 1396 | Kurow                     |         1987 | I40
 1397 | Danseys Pass              |         1998 | I41
 1399 | Waikouaiti                |         1999 | I43
 1401 | Taieri Mouth              |         1998 | I45
 1403 | Hokitika                  |         1998 | J32
 1405 | Whitcombe                 |         1996 | J34
 1406 | Arrowsmith                |         1999 | J35
 1408 | Mount Peel                |         1996 | J37
 1410 | Timaru                    |         1998 | J39-K39
 1412 | Oamaru                    |         1997 | J41
 1413 | Hampden                   |         1997 | J42
 1415 | Westport                  |         1994 | K29
 1417 | Ahaura                    |         1999 | K31
 1419 | Otira                     |         1997 | K33
 1420 | Wilberforce               |         1989 | K34
 1422 | Methven                   |         1998 | K36
 1424 | Temuka                    |         1980 | K38
 1425 | Three Kings               |         1984 | L01
 1426 | Kahurangi                 |         1984 | L25
 1428 | Karamea                   |         1984 | L27
 1430 | Inangahua                 |         1996 | L29
 1432 | Springs Junction          |         1998 | L31
 1434 | Dampier                   |         1991 | L33
 1617 | Motu                      |         1997 | X16
 1435 | Puketeraki                |         1990 | L34
 1437 | Rakaia                    |         1998 | L36
 1439 | North Cape                |         1998 | M02-N02
 1441 | Farewell Spit             |         2000 | M24-N24
 1443 | Cobb                      |         1997 | M26
 1444 | Mount Arthur              |         1996 | M27
 1446 | Murchison                 |         1987 | M29
 1448 | Lewis                     |         1989 | M31
 1450 | Waikari                   |         1989 | M33
 1451 | Amberley                  |         1996 | M34
 1453 | Lincoln                   |         1994 | M36
 1455 | Houhora                   |         1999 | N03
 1457 | Herekino                  |         1983 | N05
 1458 | Tarakohe                  |         1984 | N25
 1460 | Moutere                   |         1987 | N27
 1462 | St Arnaud                 |         1996 | N29
 1464 | Acheron                   |         1988 | N31
 1465 | Hanmer                    |         1998 | N32
 1467 | Motunau                   |         1991 | N34
 1469 | Karikari                  |         1983 | O03
 1471 | Rawene                    |         1999 | O05
 1472 | Waipoua                   |         1990 | O06
 1474 | DUrville                  |         1997 | O26-P25-26
 1476 | Nelson                    |         1999 | O27
 1478 | Waihopai                  |         1986 | O29
 1479 | Awatere                   |         1988 | O30
 1481 | Parnassus                 |         1991 | O32
 1483 | Whangaroa                 |         1984 | P04-Q04
 1485 | Mangakahia                |         1994 | P06
 1487 | Ruawai                    |         1998 | P08
 1488 | Rototuna                  |         1998 | P09
 1490 | Egmont                    |         1999 | P20
 1492 | Manaia                    |         1980 | P25
 1493 | Cape Jackson              |         1997 | P26-Q26
 1495 | Blenheim                  |         1997 | P28
 1497 | Clarence                  |         1990 | P30
 1499 |                           |         2000 | Q04
 1501 | Hukerenui                 |         1988 | Q06-R06
 1502 | Whangarei                 |         1988 | Q07-R07
 1504 | Kaipara                   |         1998 | Q09
 1506 | Waitakere                 |         1993 | Q11-R11
 1507 | Pukekohe                  |         1995 | Q12-R12
 1509 | Tongaporutu               |         1986 | Q18
 1511 | Stratford                 |         1987 | Q20
 1513 | Patea                     |         1985 | Q22
 1515 | Cook Strait               |         1998 | Q27
 1516 | Bream Head                |         1989 | R06
 1518 | Mangawhai                 |         1998 | R08
 1520 | Whangaparaoa              |         1999 | R10
 1522 | Port Waikato              |         1996 | R13
 1524 | Marokopa                  |         1987 | R16
 1525 | Awakino                   |         1986 | R17
 1527 | Whangamomona              |         1985 | R19
 1529 | Ngamatapouri              |         1987 | R21
 1531 | Marton                    |         1986 | R23-S23
 1532 | Paraparaumu               |         1983 | R26
 1534 | Wellington                |         1979 | R27
 1536 | Bream Head                |         1989 | S07
 1538 | Colville                  |         1983 | S09
 1539 | Hauraki Gulf              |         1995 | S10
 1541 | Waiheke                   |         1994 | S11
 1543 | Huntly                    |         1996 | S13
 1545 | Te Awamutu                |         1997 | S15
 1547 | Mangapehi                 |         1987 | S17
 1548 | Taumarunui                |         1987 | S18
 1550 | Ohakune                   |         1996 | S20
 1552 | Whangaehu                 |         1987 | S22
 1554 | Levin                     |         1985 | S25
 1555 | Carterton                 |         1998 | S26
 1557 | Palliser                  |         1999 | S28
 1559 | Coromandel                |         1999 | T10-U10
 1561 | Paeroa                    |         1998 | T13
 1562 | Morrinsville              |         1996 | T14
 1564 | Tokoroa                   |         1998 | T16
 1566 | Kuratau                   |         1997 | T18
 1568 | Ruapehu                   |         1997 | T20
 1570 | Mangaweka                 |         1990 | T22
 1571 | Kimbolton                 |         1996 | T23
 1573 | Eketahuna                 |         1997 | T25
 1575 | Te Wharau                 |         1997 | T27-28-inset
 1577 | Te Wharau                 |         1997 | T27-28
 1578 | Waihi Beach               |         1999 | U11-12
 1580 | Waihi Beach               |         1999 | U13
 1581 | Tauranga                  |         1997 | U14
 1583 | Rotorua                   |         1997 | U16
 1585 | Taupo                     |         1999 | U18
 1587 | Kaweka                    |         1995 | U20
 1588 | Kereru                    |         1996 | U21
 1590 | Dannevirke                |         1985 | U23
 1592 | Pongaroa and Castlepoint  |         1997 | U25-26-inset
 1594 | Pongaroa and Castlepoint  |         1997 | U25-26
 1596 | Edgecumbe                 |         1998 | V15
 1598 | Murupara                  |         1994 | V17
 1599 | Whirinaki                 |         1994 | V18
 1601 | Esk                       |         1997 | V20
 1603 | Waipawa                   |         1997 | V22
 1605 | Porangahau                |         1998 | V24
 1606 | Whakatane                 |         1988 | W15
 1608 | Waimana                   |         1990 | W16
 1610 | Waikaremoana              |         1999 | W18
 1612 | Aropaoanui                |         1978 | W20
 1614 | Waimarama                 |         1982 | W22
 1615 | Te Kaha                   |         1982 | X14
 1619 | Tiniroto                  |         1986 | X18
 1621 | Wharerata and Mahia       |         1999 | X20-Y20
 1623 | Hikurangi                 |         1995 | Y15
 1624 | Tauwhareparae             |         1999 | Y16
 1626 | Gisborne                  |         1998 | Y18
 1628 | East Cape                 |         1983 | Z14
 1630 | Tokomaru Bay              |         1983 | Z16
 1631 | Tolaga Bay                |         1983 | Z17
(328 rows)

